[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,48.0,0.0]
Nodo [1][1.0,(0,1),0,E,1,47.0,1.0]
Nodo [3][2.0,(0,2),1,E,2,46.0,2.0]
Nodo [8][4.0,(0,3),3,E,3,45.0,3.0]
Nodo [16][8.0,(0,4),8,E,4,44.0,4.0]
Nodo [27][9.0,(1,4),16,S,5,43.0,5.0]
Nodo [42][10.0,(1,5),27,E,6,42.0,6.0]
Nodo [56][11.0,(1,6),42,E,7,41.0,7.0]
Nodo [74][14.0,(1,7),56,E,8,40.0,8.0]
Nodo [95][15.0,(1,8),74,E,9,39.0,9.0]
Nodo [120][19.0,(2,8),95,S,10,38.0,10.0]
Nodo [149][22.0,(2,9),120,E,11,37.0,11.0]
Nodo [177][25.0,(2,10),149,E,12,36.0,12.0]
Nodo [208][28.0,(2,11),177,E,13,35.0,13.0]
Nodo [245][31.0,(2,12),208,E,14,34.0,14.0]
Nodo [285][32.0,(2,13),245,E,15,33.0,15.0]
Nodo [328][36.0,(2,14),285,E,16,32.0,16.0]
Nodo [381][37.0,(2,15),328,E,17,31.0,17.0]
Nodo [434][40.0,(2,16),381,E,18,30.0,18.0]
Nodo [485][42.0,(3,16),434,S,19,29.0,19.0]
Nodo [542][43.0,(3,17),485,E,20,28.0,20.0]
Nodo [601][46.0,(4,17),542,S,21,27.0,21.0]
Nodo [663][48.0,(4,18),601,E,22,26.0,22.0]
Nodo [726][51.0,(4,19),663,E,23,25.0,23.0]
Nodo [793][52.0,(4,20),726,E,24,24.0,24.0]
Nodo [867][53.0,(4,21),793,E,25,23.0,25.0]
Nodo [948][56.0,(5,21),867,S,26,22.0,26.0]
Nodo [1028][57.0,(6,21),948,S,27,21.0,27.0]
Nodo [1109][60.0,(7,21),1028,S,28,20.0,28.0]
Nodo [1194][63.0,(8,21),1109,S,29,19.0,29.0]
Nodo [1278][64.0,(9,21),1194,S,30,18.0,30.0]
Nodo [1356][65.0,(10,21),1278,S,31,17.0,31.0]
Nodo [1427][66.0,(11,21),1356,S,32,16.0,32.0]
Nodo [1486][68.0,(12,21),1427,S,33,15.0,33.0]
Nodo [1535][69.0,(13,21),1486,S,34,14.0,34.0]
Nodo [1588][70.0,(14,21),1535,S,35,13.0,35.0]
Nodo [1640][72.0,(15,21),1588,S,36,12.0,36.0]
Nodo [1683][75.0,(15,22),1640,E,37,11.0,37.0]
Nodo [1717][76.0,(16,22),1683,S,38,10.0,38.0]
Nodo [1751][79.0,(16,23),1717,E,39,9.0,39.0]
Nodo [1787][80.0,(16,24),1751,E,40,8.0,40.0]
Nodo [1821][81.0,(17,24),1787,S,41,7.0,41.0]
Nodo [1849][84.0,(18,24),1821,S,42,6.0,42.0]
Nodo [1873][86.0,(19,24),1849,S,43,5.0,43.0]
Nodo [1899][87.0,(20,24),1873,S,44,4.0,44.0]
Nodo [1918][91.0,(21,24),1899,S,45,3.0,45.0]
Nodo [1933][92.0,(22,24),1918,S,46,2.0,46.0]
Nodo [1946][93.0,(23,24),1933,S,47,1.0,47.0]
Nodo [1956][97.0,(24,24),1946,S,48,0.0,48.0]
