[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,48.0,1.0]
Nodo [1][2.0,(1,0),0,S,1,47.0,0.5]
Nodo [3][3.0,(1,1),1,E,2,46.0,0.3333333333333333]
Nodo [5][5.0,(0,1),3,N,3,47.0,0.25]
Nodo [7][6.0,(0,2),5,E,4,46.0,0.2]
Nodo [9][7.0,(0,3),7,E,5,45.0,0.16666666666666666]
Nodo [12][8.0,(0,4),9,E,6,44.0,0.14285714285714285]
Nodo [14][9.0,(0,5),12,E,7,43.0,0.125]
Nodo [17][12.0,(0,6),14,E,8,42.0,0.1111111111111111]
Nodo [20][16.0,(0,7),17,E,9,41.0,0.1]
Nodo [23][17.0,(0,8),20,E,10,40.0,0.09090909090909091]
Nodo [26][18.0,(0,9),23,E,11,39.0,0.08333333333333333]
Nodo [28][20.0,(1,9),26,S,12,38.0,0.07692307692307693]
Nodo [33][22.0,(1,8),28,O,13,39.0,0.07142857142857142]
Nodo [36][23.0,(1,7),33,O,14,40.0,0.06666666666666667]
Nodo [40][24.0,(1,6),36,O,15,41.0,0.0625]
Nodo [44][25.0,(1,5),40,O,16,42.0,0.058823529411764705]
Nodo [47][28.0,(2,5),44,S,17,41.0,0.05555555555555555]
Nodo [49][31.0,(3,5),47,S,18,40.0,0.05263157894736842]
Nodo [53][32.0,(3,4),49,O,19,41.0,0.05]
Nodo [54][33.0,(2,4),53,N,20,42.0,0.047619047619047616]
Nodo [60][34.0,(2,3),54,O,21,43.0,0.045454545454545456]
Nodo [63][35.0,(1,3),60,N,22,44.0,0.043478260869565216]
Nodo [68][38.0,(1,2),63,O,23,45.0,0.041666666666666664]
Nodo [71][41.0,(2,2),68,S,24,44.0,0.04]
Nodo [75][42.0,(2,1),71,O,25,45.0,0.038461538461538464]
Nodo [77][45.0,(3,1),75,S,26,44.0,0.037037037037037035]
Nodo [84][46.0,(3,0),77,O,27,45.0,0.03571428571428571]
Nodo [86][47.0,(4,0),84,S,28,44.0,0.034482758620689655]
Nodo [88][51.0,(4,1),86,E,29,43.0,0.03333333333333333]
Nodo [91][54.0,(4,2),88,E,30,42.0,0.03225806451612903]
Nodo [95][56.0,(4,3),91,E,31,41.0,0.03125]
Nodo [102][57.0,(4,4),95,E,32,40.0,0.030303030303030304]
Nodo [109][60.0,(4,5),102,E,33,39.0,0.029411764705882353]
Nodo [113][61.0,(4,6),109,E,34,38.0,0.02857142857142857]
Nodo [116][62.0,(3,6),113,N,35,39.0,0.027777777777777776]
Nodo [120][63.0,(2,6),116,N,36,40.0,0.02702702702702703]
Nodo [125][67.0,(2,7),120,E,37,39.0,0.02631578947368421]
Nodo [128][68.0,(2,8),125,E,38,38.0,0.02564102564102564]
Nodo [131][69.0,(2,9),128,E,39,37.0,0.025]
Nodo [135][70.0,(2,10),131,E,40,36.0,0.024390243902439025]
Nodo [138][72.0,(1,10),135,N,41,37.0,0.023809523809523808]
Nodo [143][76.0,(1,11),138,E,42,36.0,0.023255813953488372]
Nodo [149][80.0,(1,12),143,E,43,35.0,0.022727272727272728]
Nodo [152][81.0,(0,12),149,N,44,36.0,0.022222222222222223]
Nodo [156][83.0,(0,13),152,E,45,35.0,0.021739130434782608]
Nodo [158][84.0,(1,13),156,S,46,34.0,0.02127659574468085]
Nodo [161][87.0,(1,14),158,E,47,33.0,0.020833333333333332]
Nodo [164][88.0,(0,14),161,N,48,34.0,0.02040816326530612]
Nodo [168][89.0,(0,15),164,E,49,33.0,0.02]
Nodo [170][90.0,(0,16),168,E,50,32.0,0.0196078431372549]
Nodo [173][93.0,(0,17),170,E,51,31.0,0.019230769230769232]
Nodo [175][94.0,(0,18),173,E,52,30.0,0.018867924528301886]
Nodo [178][95.0,(0,19),175,E,53,29.0,0.018518518518518517]
Nodo [181][98.0,(0,20),178,E,54,28.0,0.01818181818181818]
Nodo [183][99.0,(0,21),181,E,55,27.0,0.017857142857142856]
Nodo [187][102.0,(1,21),183,S,56,26.0,0.017543859649122806]
Nodo [192][104.0,(1,20),187,O,57,27.0,0.017241379310344827]
Nodo [196][106.0,(1,19),192,O,58,28.0,0.01694915254237288]
Nodo [198][109.0,(2,19),196,S,59,27.0,0.016666666666666666]
Nodo [200][113.0,(2,20),198,E,60,26.0,0.01639344262295082]
Nodo [203][114.0,(2,21),200,E,61,25.0,0.016129032258064516]
Nodo [207][115.0,(2,22),203,E,62,24.0,0.015873015873015872]
Nodo [210][116.0,(2,23),207,E,63,23.0,0.015625]
Nodo [213][117.0,(1,23),210,N,64,24.0,0.015384615384615385]
Nodo [218][118.0,(1,24),213,E,65,23.0,0.015151515151515152]
Nodo [224][121.0,(2,24),218,S,66,22.0,0.014925373134328358]
Nodo [228][122.0,(3,24),224,S,67,21.0,0.014705882352941176]
Nodo [232][126.0,(3,23),228,O,68,22.0,0.014492753623188406]
Nodo [236][128.0,(3,22),232,O,69,23.0,0.014285714285714285]
Nodo [239][131.0,(3,21),236,O,70,24.0,0.014084507042253521]
Nodo [242][133.0,(3,20),239,O,71,25.0,0.013888888888888888]
Nodo [245][136.0,(4,20),242,S,72,24.0,0.0136986301369863]
Nodo [249][137.0,(4,19),245,O,73,25.0,0.013513513513513514]
Nodo [250][141.0,(3,19),249,N,74,26.0,0.013333333333333334]
Nodo [256][142.0,(3,18),250,O,75,27.0,0.013157894736842105]
Nodo [257][143.0,(2,18),256,N,76,28.0,0.012987012987012988]
Nodo [262][144.0,(2,17),257,O,77,29.0,0.01282051282051282]
Nodo [263][146.0,(1,17),262,N,78,30.0,0.012658227848101266]
Nodo [270][147.0,(1,16),263,O,79,31.0,0.0125]
Nodo [273][149.0,(1,15),270,O,80,32.0,0.012345679012345678]
Nodo [276][150.0,(2,15),273,S,81,31.0,0.012195121951219513]
Nodo [280][151.0,(2,14),276,O,82,32.0,0.012048192771084338]
Nodo [284][152.0,(2,13),280,O,83,33.0,0.011904761904761904]
Nodo [288][154.0,(2,12),284,O,84,34.0,0.011764705882352941]
Nodo [292][155.0,(2,11),288,O,85,35.0,0.011627906976744186]
Nodo [295][157.0,(3,11),292,S,86,34.0,0.011494252873563218]
Nodo [299][159.0,(3,10),295,O,87,35.0,0.011363636363636364]
Nodo [302][161.0,(3,9),299,O,88,36.0,0.011235955056179775]
Nodo [306][163.0,(3,8),302,O,89,37.0,0.011111111111111112]
Nodo [309][166.0,(4,8),306,S,90,36.0,0.01098901098901099]
Nodo [311][168.0,(4,9),309,E,91,35.0,0.010869565217391304]
Nodo [313][170.0,(4,10),311,E,92,34.0,0.010752688172043012]
Nodo [316][172.0,(4,11),313,E,93,33.0,0.010638297872340425]
Nodo [318][173.0,(4,12),316,E,94,32.0,0.010526315789473684]
Nodo [321][175.0,(4,13),318,E,95,31.0,0.010416666666666666]
