[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,48.0,48.0]
Nodo [1][1.0,(0,1),0,E,1,47.0,47.0]
Nodo [3][2.0,(0,2),1,E,2,46.0,46.0]
Nodo [6][4.0,(0,3),3,E,3,45.0,45.0]
Nodo [8][8.0,(0,4),6,E,4,44.0,44.0]
Nodo [10][9.0,(1,4),8,S,5,43.0,43.0]
Nodo [13][10.0,(1,5),10,E,6,42.0,42.0]
Nodo [17][11.0,(1,6),13,E,7,41.0,41.0]
Nodo [21][14.0,(1,7),17,E,8,40.0,40.0]
Nodo [24][15.0,(1,8),21,E,9,39.0,39.0]
Nodo [28][19.0,(2,8),24,S,10,38.0,38.0]
Nodo [31][22.0,(2,9),28,E,11,37.0,37.0]
Nodo [35][25.0,(2,10),31,E,12,36.0,36.0]
Nodo [38][28.0,(2,11),35,E,13,35.0,35.0]
Nodo [42][31.0,(2,12),38,E,14,34.0,34.0]
Nodo [46][32.0,(2,13),42,E,15,33.0,33.0]
Nodo [50][36.0,(2,14),46,E,16,32.0,32.0]
Nodo [54][37.0,(2,15),50,E,17,31.0,31.0]
Nodo [58][40.0,(2,16),54,E,18,30.0,30.0]
Nodo [62][42.0,(3,16),58,S,19,29.0,29.0]
Nodo [65][43.0,(3,17),62,E,20,28.0,28.0]
Nodo [69][46.0,(4,17),65,S,21,27.0,27.0]
Nodo [72][48.0,(4,18),69,E,22,26.0,26.0]
Nodo [74][51.0,(4,19),72,E,23,25.0,25.0]
Nodo [77][52.0,(4,20),74,E,24,24.0,24.0]
Nodo [81][53.0,(4,21),77,E,25,23.0,23.0]
Nodo [85][57.0,(4,22),81,E,26,22.0,22.0]
Nodo [88][60.0,(4,23),85,E,27,21.0,21.0]
Nodo [92][61.0,(4,24),88,E,28,20.0,20.0]
Nodo [95][62.0,(5,24),92,S,29,19.0,19.0]
Nodo [98][63.0,(6,24),95,S,30,18.0,18.0]
Nodo [101][65.0,(7,24),98,S,31,17.0,17.0]
Nodo [104][68.0,(8,24),101,S,32,16.0,16.0]
Nodo [107][71.0,(9,24),104,S,33,15.0,15.0]
Nodo [110][74.0,(10,24),107,S,34,14.0,14.0]
Nodo [112][76.0,(11,24),110,S,35,13.0,13.0]
Nodo [115][78.0,(11,23),112,O,36,14.0,14.0]
Nodo [118][82.0,(12,23),115,S,37,13.0,13.0]
Nodo [120][83.0,(12,24),118,E,38,12.0,12.0]
Nodo [123][85.0,(13,24),120,S,39,11.0,11.0]
Nodo [126][87.0,(14,24),123,S,40,10.0,10.0]
Nodo [129][89.0,(15,24),126,S,41,9.0,9.0]
Nodo [132][90.0,(15,23),129,O,42,10.0,10.0]
Nodo [135][93.0,(16,23),132,S,43,9.0,9.0]
Nodo [137][94.0,(16,24),135,E,44,8.0,8.0]
Nodo [140][95.0,(17,24),137,S,45,7.0,7.0]
Nodo [143][98.0,(18,24),140,S,46,6.0,6.0]
Nodo [146][100.0,(19,24),143,S,47,5.0,5.0]
Nodo [149][101.0,(20,24),146,S,48,4.0,4.0]
Nodo [152][105.0,(21,24),149,S,49,3.0,3.0]
Nodo [154][106.0,(22,24),152,S,50,2.0,2.0]
Nodo [157][107.0,(23,24),154,S,51,1.0,1.0]
Nodo [160][111.0,(24,24),157,S,52,0.0,0.0]
