[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,48.0,0.0]
Nodo [1][1.0,(0,1),0,E,1,47.0,1.0]
Nodo [4][3.0,(1,1),1,S,2,46.0,3.0]
Nodo [11][4.0,(1,2),4,E,3,45.0,4.0]
Nodo [15][5.0,(1,3),11,E,4,44.0,5.0]
Nodo [22][6.0,(2,3),15,S,5,43.0,6.0]
Nodo [37][7.0,(3,3),22,S,6,42.0,7.0]
Nodo [53][8.0,(3,4),37,E,7,41.0,8.0]
Nodo [71][9.0,(4,4),53,S,8,40.0,9.0]
Nodo [80][10.0,(5,4),71,S,9,39.0,10.0]
Nodo [103][11.0,(6,4),80,S,10,38.0,11.0]
Nodo [126][12.0,(7,4),103,S,11,37.0,12.0]
Nodo [145][13.0,(7,5),126,E,12,36.0,13.0]
Nodo [157][14.0,(7,6),145,E,13,35.0,14.0]
Nodo [171][16.0,(8,6),157,S,14,34.0,16.0]
Nodo [209][17.0,(8,7),171,E,15,33.0,17.0]
Nodo [221][18.0,(8,8),209,E,16,32.0,18.0]
Nodo [235][19.0,(8,9),221,E,17,31.0,19.0]
Nodo [251][20.0,(9,9),235,S,18,30.0,20.0]
Nodo [283][22.0,(10,9),251,S,19,29.0,22.0]
Nodo [337][23.0,(11,9),283,S,20,28.0,23.0]
Nodo [372][24.0,(11,10),337,E,21,27.0,24.0]
Nodo [401][26.0,(11,11),372,E,22,26.0,26.0]
Nodo [458][27.0,(11,12),401,E,23,25.0,27.0]
Nodo [505][31.0,(11,13),458,E,24,24.0,31.0]
Nodo [643][32.0,(11,14),505,E,25,23.0,32.0]
Nodo [691][33.0,(11,15),643,E,26,22.0,33.0]
Nodo [745][34.0,(12,15),691,S,27,21.0,34.0]
Nodo [782][35.0,(13,15),745,S,28,20.0,35.0]
Nodo [827][36.0,(14,15),782,S,29,19.0,36.0]
Nodo [881][37.0,(15,15),827,S,30,18.0,37.0]
Nodo [942][38.0,(16,15),881,S,31,17.0,38.0]
Nodo [984][39.0,(17,15),942,S,32,16.0,39.0]
Nodo [1042][40.0,(17,16),984,E,33,15.0,40.0]
Nodo [1119][41.0,(17,17),1042,E,34,14.0,41.0]
Nodo [1178][42.0,(18,17),1119,S,35,13.0,42.0]
Nodo [1243][43.0,(19,17),1178,S,36,12.0,43.0]
Nodo [1328][44.0,(20,17),1243,S,37,11.0,44.0]
Nodo [1401][45.0,(21,17),1328,S,38,10.0,45.0]
Nodo [1459][46.0,(21,18),1401,E,39,9.0,46.0]
Nodo [1529][47.0,(21,19),1459,E,40,8.0,47.0]
Nodo [1617][48.0,(21,20),1529,E,41,7.0,48.0]
Nodo [1681][52.0,(21,21),1617,E,42,6.0,52.0]
Nodo [1836][53.0,(21,22),1681,E,43,5.0,53.0]
Nodo [1880][54.0,(22,22),1836,S,44,4.0,54.0]
Nodo [1901][55.0,(22,23),1880,E,45,3.0,55.0]
Nodo [1914][56.0,(22,24),1901,E,46,2.0,56.0]
Nodo [1931][57.0,(23,24),1914,S,47,1.0,57.0]
Nodo [1946][61.0,(24,24),1931,S,48,0.0,61.0]
