[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,99.0,99.0]
Nodo [1][2.0,(1,0),0,S,1,98.0,100.0]
Nodo [4][4.0,(2,0),1,S,2,97.0,101.0]
Nodo [9][7.0,(3,0),4,S,3,96.0,103.0]
Nodo [13][8.0,(4,0),9,S,4,95.0,103.0]
Nodo [16][9.0,(5,0),13,S,5,94.0,103.0]
Nodo [19][10.0,(6,0),16,S,6,93.0,103.0]
Nodo [21][11.0,(6,1),19,E,7,92.0,103.0]
Nodo [24][13.0,(6,2),21,E,8,91.0,104.0]
Nodo [44][14.0,(6,3),24,E,9,90.0,104.0]
Nodo [47][15.0,(6,4),44,E,10,89.0,104.0]
Nodo [52][16.0,(7,4),47,S,11,88.0,104.0]
Nodo [58][18.0,(7,5),52,E,12,87.0,105.0]
Nodo [80][19.0,(7,6),58,E,13,86.0,105.0]
Nodo [83][20.0,(7,7),80,E,14,85.0,105.0]
Nodo [85][21.0,(7,8),83,E,15,84.0,105.0]
Nodo [88][22.0,(7,9),85,E,16,83.0,105.0]
Nodo [92][24.0,(7,10),88,E,17,82.0,106.0]
Nodo [154][25.0,(7,11),92,E,18,81.0,106.0]
Nodo [158][26.0,(7,12),154,E,19,80.0,106.0]
Nodo [161][27.0,(7,13),158,E,20,79.0,106.0]
Nodo [165][28.0,(7,14),161,E,21,78.0,106.0]
Nodo [170][29.0,(8,14),165,S,22,77.0,106.0]
Nodo [181][31.0,(8,15),170,E,23,76.0,107.0]
Nodo [233][32.0,(9,15),181,S,24,75.0,107.0]
Nodo [248][33.0,(10,15),233,S,25,74.0,107.0]
Nodo [265][34.0,(11,15),248,S,26,73.0,107.0]
Nodo [292][35.0,(12,15),265,S,27,72.0,107.0]
Nodo [303][36.0,(12,16),292,E,28,71.0,107.0]
Nodo [306][37.0,(12,17),303,E,29,70.0,107.0]
Nodo [310][40.0,(13,17),306,S,30,69.0,109.0]
Nodo [525][41.0,(13,18),310,E,31,68.0,109.0]
Nodo [529][42.0,(14,18),525,S,32,67.0,109.0]
Nodo [543][43.0,(14,19),529,E,33,66.0,109.0]
Nodo [546][44.0,(14,20),543,E,34,65.0,109.0]
Nodo [551][45.0,(15,20),546,S,35,64.0,109.0]
Nodo [562][46.0,(16,20),551,S,36,63.0,109.0]
Nodo [568][47.0,(17,20),562,S,37,62.0,109.0]
Nodo [582][49.0,(17,21),568,E,38,61.0,110.0]
Nodo [779][50.0,(18,21),582,S,39,60.0,110.0]
Nodo [805][51.0,(19,21),779,S,40,59.0,110.0]
Nodo [830][52.0,(20,21),805,S,41,58.0,110.0]
Nodo [848][53.0,(21,21),830,S,42,57.0,110.0]
Nodo [855][54.0,(21,22),848,E,43,56.0,110.0]
Nodo [858][56.0,(22,22),855,S,44,55.0,111.0]
Nodo [1062][57.0,(23,22),858,S,45,54.0,111.0]
Nodo [1079][58.0,(24,22),1062,S,46,53.0,111.0]
Nodo [1090][60.0,(25,22),1079,S,47,52.0,112.0]
Nodo [1325][61.0,(26,22),1090,S,48,51.0,112.0]
Nodo [1327][63.0,(26,23),1325,E,49,50.0,113.0]
Nodo [1554][64.0,(26,24),1327,E,50,49.0,113.0]
Nodo [1559][65.0,(27,24),1554,S,51,48.0,113.0]
Nodo [1567][67.0,(28,24),1559,S,52,47.0,114.0]
Nodo [1763][68.0,(28,25),1567,E,53,46.0,114.0]
Nodo [1766][69.0,(28,26),1763,E,54,45.0,114.0]
Nodo [1771][70.0,(29,26),1766,S,55,44.0,114.0]
Nodo [1779][73.0,(30,26),1771,S,56,43.0,116.0]
Nodo [2213][74.0,(31,26),1779,S,57,42.0,116.0]
Nodo [2230][76.0,(31,27),2213,E,58,41.0,117.0]
Nodo [2585][77.0,(32,27),2230,S,59,40.0,117.0]
Nodo [2593][78.0,(33,27),2585,S,60,39.0,117.0]
Nodo [2602][79.0,(34,27),2593,S,61,38.0,117.0]
Nodo [2611][81.0,(35,27),2602,S,62,37.0,118.0]
Nodo [2908][83.0,(36,27),2611,S,63,36.0,119.0]
Nodo [3209][86.0,(37,27),2908,S,64,35.0,121.0]
Nodo [3840][87.0,(38,27),3209,S,65,34.0,121.0]
Nodo [3843][88.0,(38,28),3840,E,66,33.0,121.0]
Nodo [3846][89.0,(38,29),3843,E,67,32.0,121.0]
Nodo [3850][91.0,(38,30),3846,E,68,31.0,122.0]
Nodo [4106][92.0,(38,31),3850,E,69,30.0,122.0]
Nodo [4110][95.0,(39,31),4106,S,70,29.0,124.0]
Nodo [4634][96.0,(39,32),4110,E,71,28.0,124.0]
Nodo [4638][97.0,(39,33),4634,E,72,27.0,124.0]
Nodo [4642][98.0,(39,34),4638,E,73,26.0,124.0]
Nodo [4647][99.0,(40,34),4642,S,74,25.0,124.0]
Nodo [4663][100.0,(40,35),4647,E,75,24.0,124.0]
Nodo [4667][101.0,(40,36),4663,E,76,23.0,124.0]
Nodo [4672][102.0,(41,36),4667,S,77,22.0,124.0]
Nodo [4699][103.0,(41,37),4672,E,78,21.0,124.0]
Nodo [4701][104.0,(41,38),4699,E,79,20.0,124.0]
Nodo [4705][105.0,(41,39),4701,E,80,19.0,124.0]
Nodo [4710][106.0,(42,39),4705,S,81,18.0,124.0]
Nodo [4732][107.0,(42,40),4710,E,82,17.0,124.0]
Nodo [4735][109.0,(43,40),4732,S,83,16.0,125.0]
Nodo [5354][110.0,(43,41),4735,E,84,15.0,125.0]
Nodo [5357][113.0,(44,41),5354,S,85,14.0,127.0]
Nodo [6144][114.0,(45,41),5357,S,86,13.0,127.0]
Nodo [6158][116.0,(46,41),6144,S,87,12.0,128.0]
Nodo [6584][118.0,(47,41),6158,S,88,11.0,129.0]
Nodo [6898][119.0,(47,42),6584,E,89,10.0,129.0]
Nodo [6903][120.0,(48,42),6898,S,90,9.0,129.0]
Nodo [6928][121.0,(49,42),6903,S,91,8.0,129.0]
Nodo [6965][122.0,(49,43),6928,E,92,7.0,129.0]
Nodo [6968][123.0,(49,44),6965,E,93,6.0,129.0]
Nodo [6971][124.0,(49,45),6968,E,94,5.0,129.0]
Nodo [6975][125.0,(49,46),6971,E,95,4.0,129.0]
Nodo [6979][126.0,(50,46),6975,S,96,3.0,129.0]
Nodo [6997][127.0,(50,47),6979,E,97,2.0,129.0]
Nodo [6999][128.0,(50,48),6997,E,98,1.0,129.0]
Nodo [7002][129.0,(50,49),6999,E,99,0.0,129.0]
